Sample	condition	HECW2-AS1	ASPN	COL1A1.v20	CD38	CAMK2N1	ASPN.v24	TROAP	SRD5A2	EFNA2	PGM5-AS1	MYBPC1	UGT2B15	GMNN	AC069228.1	ctg_20	HOPX	USP9YP32	ctg_23	PTPRN2	SLC22A3	ANO7
CPCG_0396_F1_R	LR	2.28064161143425	0.311348743527739	0.509295652790873	1.41605280521995	0.0642996174201329	0.674459683837157	0.261481874603233	1.68327986968377	0	1.45567754751248	3.55590342662635	0	0.286726114941096	1.18111457219839	0.0949626646174182	0	0.674459683837157	1.33218088106992	2.76482479138956	2.06772746311904	2.95474478066528
CPCG_0401_F1	LR	1.13684305545405	0.0735173889540596	0	1.05397666847781	0	0.295123789623856	0.141998139384916	0.895866689188781	0	1.09308656744767	1.76870939539456	0	0.726592366776968	0	0.427885719955165	0.0735173889540596	0	0.427885719955165	1.37043404936998	0.295123789623856	3.36523162400028
CPCG_0402_F1_R	HR	0.153814906325502	0.287094394814851	0.153814906325502	0.422837284094	0.153814906325502	1.52662677725427	0.385841448332478	0.634882263027927	0.105125486045231	0.244611453589625	0.558482475357988	0	0.797214349230865	2.52799804881532	0.745976783689894	0.691971479717988	0.509885173700225	1.7228156872495	0.663834213393565	0.153814906325502	3.23205162210417
CPCG_0404_F1_R	LR	3.07967062781037	0	0	0.328558364914819	0	1.05327618433281	0.209757219104283	0.891656967851481	0	0.459603773427494	4.92703782676845	0.177712746167603	0.240806646990748	0.110368317940086	0.209757219104283	0	0.14460733395928	0.639017182802307	2.22419570440107	0.4347326230391	3.87658052004868
CPCG_0407_F1	LR	2.1015016317183	0	0	0.13415392862658	0.497432588916778	0.988311465568054	0	0.764793509069979	0	1.17103121772979	2.86479125745898	0	0.498384403751951	0.764793509069979	0.164594352410694	0	0	0.974952616316683	3.08271152650102	0.695635002633961	3.6847552015131
CPCG_0408_F1	HR	1.26298955002785	0.203316348567393	0	1.93008370310021	0.291318043698622	0.627779432092601	0.203316348567393	1.62102678737688	0.482435543370146	1.51534616541874	2.21928195226281	0.549707005290905	0.781004848913275	0	0.447022958979199	0.156229996212118	0	0.806489453770494	1.58702590333184	1.39716285273744	3.26342075692712
CPCG_0410_F1	LR	2.59337914318782	0	0.23428564010939	2.54533995358002	0	0.423966878302555	0.285184103229949	1.87856622102761	0	1.34496677829783	3.31532303413835	0	0.50682587238579	0	0.23428564010939	0.123988405270196	0.23428564010939	0.752370038286558	2.16586698485992	1.23606745498915	3.89147325925388
CPCG_0413_F1	LR	1.0892940188845	0	0	0.76150934633995	0	0.129622228683205	0.0334549429605858	0.585444994942685	0	0.52590608350568	2.89260313409673	0	0.129622228683205	0	0	0.0669098859211717	0.347267149635615	0.216881532766825	1.25023648299049	0.322514697251451	2.33619624171386
CPCG_0415_F1	LR	2.34060554828102	0.0928344356841001	0	3.14948054450401	0	0.602609825534609	0.293027888823858	1.83308096931044	0	1.70017077613624	3.84887970934412	0	0.490002514088519	0	0.25606767434858	0	0.177778000134424	0.490002514088519	2.32169774768621	1.14427410298709	3.86430327743251
CPCG_0418_F1_R	LR	1.73993358933965	0.117034129769151	0.117034129769151	0.602812115759202	0.0982792119392236	0.580164752778648	0.221795116635689	1.47069536520963	0	1.62054032101621	3.9320939505553	0.153187697773854	0.221795116635689	0	0.153187697773854	0	0	0.430494000554363	2.28814021304941	0.710322979560208	3.39535684303982
